http2,http3
0.059121,0.118246
0.071222,0.062464
0.077157,0.060307
0.103681,0.070045
0.091482,0.092579
0.099764,0.085781
0.067169,0.061472
0.072649,0.063861
0.078333,0.108354
0.070751,0.063215
