http2,http3
1.097694,0.107152
0.059484,0.088709
0.058217,0.063505
0.084919,0.060629
1.199567,0.057366
0.072626,0.054715
0.056924,0.073467
0.067795,0.066212
0.062208,0.105517
0.05534,0.069448
